name,price,rating,image
A Light in the Attic,Â£51.77,Three,data/raw/images/a_light_in_the_attic.png
Tipping the Velvet,Â£53.74,One,data/raw/images/tipping_the_velvet.png
Soumission,Â£50.10,One,data/raw/images/soumission.png
Sharp Objects,Â£47.82,Four,data/raw/images/sharp_objects.png
Sapiens: A Brief History of Humankind,Â£54.23,Five,data/raw/images/sapiens_a_brief_history_of_humankind.png
The Requiem Red,Â£22.65,One,data/raw/images/the_requiem_red.png
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,Four,data/raw/images/the_dirty_little_secrets_of_getting_your_dream_job.png
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,Three,data/raw/images/the_coming_woman_a_novel_based_on_the_life_of_the.png
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,Four,data/raw/images/the_boys_in_the_boat_nine_americans_and_their_epi.png
The Black Maria,Â£52.15,One,data/raw/images/the_black_maria.png
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,Two,"data/raw/images/starving_hearts_(triangular_trade_trilogy,_#1).png"
Shakespeare's Sonnets,Â£20.66,Four,data/raw/images/shakespeare's_sonnets.png
Set Me Free,Â£17.46,Five,data/raw/images/set_me_free.png
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,Five,data/raw/images/scott_pilgrim's_precious_little_life_(scott_pilgri.png
Rip it Up and Start Again,Â£35.02,Five,data/raw/images/rip_it_up_and_start_again.png
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,Three,data/raw/images/our_band_could_be_your_life_scenes_from_the_ameri.png
Olio,Â£23.88,One,data/raw/images/olio.png
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,One,data/raw/images/mesaerion_the_best_science_fiction_stories_1800-1.png
Libertarianism for Beginners,Â£51.33,Two,data/raw/images/libertarianism_for_beginners.png
It's Only the Himalayas,Â£45.17,Two,data/raw/images/it's_only_the_himalayas.png
In Her Wake,Â£12.84,One,data/raw/images/in_her_wake.png
How Music Works,Â£37.32,Two,data/raw/images/how_music_works.png
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,Three,"data/raw/images/foolproof_preserving_a_guide_to_small_batch_jams,.png"
