name,price,rating,image
Tipping the Velvet,53.74,1,data/raw/images/1_star/tipping_the_velvet.png
Soumission,50.1,1,data/raw/images/1_star/soumission.png
The Requiem Red,22.65,1,data/raw/images/1_star/the_requiem_red.png
The Black Maria,52.15,1,data/raw/images/1_star/the_black_maria.png
Olio,23.88,1,data/raw/images/1_star/olio.png
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,data/raw/images/1_star/mesaerion_the_best_science_fiction_stories_1800-1.png
In Her Wake,12.84,1,data/raw/images/1_star/in_her_wake.png
The Bear and the Piano,36.89,1,data/raw/images/1_star/the_bear_and_the_piano.png
"In a Dark, Dark Wood",19.63,1,"data/raw/images/1_star/in_a_dark,_dark_wood.png"
When We Collided,31.77,1,data/raw/images/1_star/when_we_collided.png
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,"data/raw/images/1_star/unbound_how_eight_technologies_made_us_human,_tra.png"
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,data/raw/images/1_star/tsubasa_world_chronicle_2_(tsubasa_world_chronicl.png
The Torch Is Passed: A Harding Family Story,19.09,1,data/raw/images/1_star/the_torch_is_passed_a_harding_family_story.png
The Secret of Dreadwillow Carse,56.13,1,data/raw/images/1_star/the_secret_of_dreadwillow_carse.png
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,data/raw/images/1_star/the_pioneer_woman_cooks_dinnertime_comfort_class.png
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,"data/raw/images/2_star/starving_hearts_(triangular_trade_trilogy,_#1).png"
Libertarianism for Beginners,51.33,2,data/raw/images/2_star/libertarianism_for_beginners.png
It's Only the Himalayas,45.17,2,data/raw/images/2_star/it's_only_the_himalayas.png
How Music Works,37.32,2,data/raw/images/2_star/how_music_works.png
Maude (1883-1993):She Grew Up with the country,18.02,2,data/raw/images/2_star/maude_(1883-1993)she_grew_up_with_the_country.png
You can't bury them all: Poems,33.63,2,data/raw/images/2_star/you_can't_bury_them_all_poems.png
Reasons to Stay Alive,26.41,2,data/raw/images/2_star/reasons_to_stay_alive.png
Without Borders (Wanderlove #1),45.07,2,data/raw/images/2_star/without_borders_(wanderlove_#1).png
A Light in the Attic,51.77,3,data/raw/images/3_star/a_light_in_the_attic.png
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,data/raw/images/3_star/the_coming_woman_a_novel_based_on_the_life_of_the.png
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,data/raw/images/3_star/our_band_could_be_your_life_scenes_from_the_ameri.png
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,"data/raw/images/3_star/foolproof_preserving_a_guide_to_small_batch_jams,.png"
