name,price,rating,image
A Light in the Attic,Â£51.77,3,data/raw/images/3_star/a_light_in_the_attic.png
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,3,data/raw/images/3_star/the_coming_woman_a_novel_based_on_the_life_of_the.png
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,3,data/raw/images/3_star/our_band_could_be_your_life_scenes_from_the_ameri.png
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,3,"data/raw/images/3_star/foolproof_preserving_a_guide_to_small_batch_jams,.png"
Birdsong: A Story in Pictures,Â£54.64,3,data/raw/images/3_star/birdsong_a_story_in_pictures.png
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,3,data/raw/images/3_star/america's_cradle_of_quarterbacks_western_pennsylv.png
Aladdin and His Wonderful Lamp,Â£53.13,3,data/raw/images/3_star/aladdin_and_his_wonderful_lamp.png
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,3,data/raw/images/3_star/the_five_love_languages_how_to_express_heartfelt_.png
Penny Maybe,Â£33.29,3,data/raw/images/3_star/penny_maybe.png
Slow States of Collapse: Poems,Â£57.31,3,data/raw/images/3_star/slow_states_of_collapse_poems.png
Unicorn Tracks,Â£18.78,3,data/raw/images/3_star/unicorn_tracks.png
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,3,data/raw/images/3_star/throwing_rocks_at_the_google_bus_how_growth_becam.png
The Natural History of Us (The Fine Art of Pretending #2),Â£45.22,3,data/raw/images/3_star/the_natural_history_of_us_(the_fine_art_of_pretend.png
